iter	Passed	Remaining
739	42400	14840
740	42450	14780
741	42501	14720
742	42552	14661
743	42606	14603
744	42660	14544
745	42710	14484
746	42760	14425
747	42810	14365
748	42863	14307
749	42912	14247
750	42963	14187
751	43013	14128
752	43065	14069
753	43115	14009
754	43164	13949
755	43215	13890
756	43265	13831
757	43315	13771
758	43365	13712
759	43416	13653
760	43467	13594
761	43519	13535
762	43575	13478
763	43630	13420
764	43684	13362
765	43740	13304
766	43791	13245
767	43847	13188
768	43902	13130
769	43956	13072
770	44012	13015
771	44072	12959
772	44124	12900
773	44175	12841
774	44228	12783
775	44279	12724
776	44330	12665
777	44384	12608
778	44435	12549
779	44486	12490
780	44539	12432
781	44591	12373
782	44642	12315
783	44693	12256
784	44743	12197
785	44795	12139
786	44844	12080
787	44896	12021
788	44948	11963
789	44998	11904
790	45051	11846
791	45102	11788
792	45154	11729
793	45205	11671
794	45256	11613
795	45307	11554
796	45365	11497
797	45423	11441
798	45481	11384
799	45539	11327
800	45593	11270
801	45645	11212
802	45697	11154
803	45748	11095
804	45802	11038
805	45855	10980
806	45911	10923
807	45966	10865
808	46019	10807
809	46076	10751
810	46125	10692
811	46177	10634
812	46230	10576
813	46284	10519
814	46339	10461
815	46392	10404
816	46450	10347
817	46505	10290
818	46557	10232
819	46610	10174
820	46659	10116
821	46711	10058
822	46761	10000
823	46812	9941
824	46862	9883
825	46912	9825
826	46965	9767
827	47018	9710
828	47069	9652
829	47120	9594
830	47173	9536
831	47226	9479
832	47280	9421
833	47332	9364
834	47382	9306
835	47434	9248
836	47488	9191
837	47550	9135
838	47608	9079
839	47664	9022
840	47717	8964
841	47772	8907
842	47823	8849
843	47875	8792
844	47926	8734
845	47977	8676
846	48025	8618
847	48077	8560
848	48129	8503
849	48181	8445
850	48242	8390
851	48303	8334
852	48359	8277
853	48412	8219
854	48464	8162
855	48514	8104
856	48562	8046
857	48615	7989
858	48670	7932
859	48721	7874
860	48773	7817
861	48824	7759
862	48932	7711
863	48994	7655
864	49045	7597
865	49093	7539
866	49144	7482
867	49198	7425
868	49247	7367
869	49299	7309
870	49352	7252
871	49405	7195
872	49455	7137
873	49505	7080
874	49556	7022
875	49607	6965
876	49660	6908
877	49711	6850
878	49760	6793
879	49810	6735
880	49859	6678
881	49907	6620
882	49959	6563
883	50008	6505
884	50062	6448
885	50114	6391
886	50165	6334
887	50217	6277
888	50270	6220
889	50318	6162
890	50372	6105
891	50423	6048
892	50477	5991
893	50531	5934
894	50590	5878
895	50646	5822
896	50708	5766
897	50768	5710
898	50826	5653
899	50882	5597
900	50934	5540
901	50990	5483
902	51055	5427
903	51118	5371
904	51176	5315
905	51232	5259
906	51290	5202
907	51340	5145
908	51392	5088
909	51440	5030
910	51489	4973
911	51539	4916
912	51588	4859
913	51639	4802
914	51693	4745
915	51753	4689
916	51811	4633
917	51867	4576
918	51919	4519
919	51969	4462
920	52018	4405
921	52067	4348
922	52116	4291
923	52166	4234
924	52211	4176
925	52261	4119
926	52312	4063
927	52362	4006
928	52412	3949
929	52463	3892
930	52510	3835
931	52561	3778
932	52614	3721
933	52664	3665
934	52717	3608
935	52769	3551
936	52824	3495
937	52877	3438
938	52930	3382
939	52980	3325
940	53032	3268
941	53083	3212
942	53131	3155
943	53179	3098
944	53233	3041
945	53283	2985
946	53332	2928
947	53381	2871
948	53435	2815
949	53489	2758
950	53545	2702
951	53599	2646
952	53656	2589
953	53710	2533
954	53763	2477
955	53812	2420
956	53863	2363
957	53914	2307
958	53965	2250
959	54015	2194
960	54064	2137
961	54115	2081
962	54167	2024
963	54220	1968
964	54272	1912
965	54323	1855
966	54374	1799
967	54425	1742
968	54475	1686
969	54527	1630
970	54576	1573
971	54628	1517
972	54681	1461
973	54732	1404
974	54784	1348
975	54839	1292
976	54892	1236
977	54945	1179
978	55001	1123
979	55056	1067
980	55107	1011
981	55159	954
982	55208	898
983	55257	842
984	55308	786
985	55358	729
986	55411	673
987	55461	617
988	55519	561
989	55578	505
990	55637	449
991	55691	392
992	55745	336
993	55804	280
994	55855	224
995	55907	168
996	55965	112
997	56020	56
998	56085	0
